code_commune,population,nom_commune
01053,35214.492761,Bourg-en-Bresse
02408,21048.968513,Laon
02691,45893.093253,Saint-Quentin
02722,23318.024019,Soissons
03185,32902.371242,Montluçon
03310,22963.53429,Vichy
05061,34842.390088,Gap
06004,65951.754214,Antibes
06027,45139.49735,Cagnes-sur-Mer
06029,64111.36157,Cannes
06030,36676.840138,Le Cannet
06069,41689.947393,Grasse
06083,25489.890408,Menton
06088,298161.609625,Nice
06123,26788.031295,Saint-Laurent-du-Var
06155,24132.674063,Vallauris
08105,40713.787718,Charleville-Mézières
10387,51526.647435,Troyes
11069,39545.71483,Carcassonne
11262,47946.237896,Narbonne
12202,21192.513042,Rodez
13001,128208.259276,Aix-en-Provence
13004,44058.648838,Arles
13005,39453.96813,Aubagne
13028,32450.313722,La Ciotat
13047,36030.381543,Istres
13054,27780.213712,Marignane
13055,722311.532763,Marseille
13056,40548.471645,Martigues
13063,20629.51425,Miramas
13103,37075.742567,Salon-de-Provence
13117,28931.000705,Vitrolles
14118,95560.010199,Caen
15014,23869.578162,Aurillac
16015,35670.61842,Angoulême
17299,21131.834154,Rochefort
17300,69564.287335,La Rochelle
17415,22281.230756,Saintes
18033,56772.081587,Bourges
18279,22732.342407,Vierzon
19031,41290.997918,Brive-la-Gaillarde
21231,139199.177886,Dijon
22278,38673.364994,Saint-Brieuc
24037,23599.117148,Bergerac
24322,26264.007136,Périgueux
25056,102235.691675,Besançon
25388,21130.656935,Montbéliard
26198,33222.768389,Montélimar
26281,27773.388375,Romans-sur-Isère
26362,53721.340988,Valence
27229,39417.132699,Évreux
27681,20033.157081,Vernon
28085,32848.107392,Chartres
28134,23837.639791,Dreux
29019,121095.314232,Brest
29232,55174.669511,Quimper
2A004,61049.117104,Ajaccio
2B033,40580.448478,Bastia
30007,38255.394839,Alès
30189,124877.684329,Nîmes
31069,22307.72899,Blagnac
31149,32912.170425,Colomiers
31395,21409.599223,Muret
31555,439338.037547,Toulouse
31557,24118.847176,Tournefeuille
33039,25861.2642,Bègles
33063,229736.252899,Bordeaux
33069,20311.039688,Le Bouscat
33119,22363.720008,Cenon
33192,22388.642856,Gradignan
33243,20674.745015,Libourne
33281,64434.412147,Mérignac
33318,56482.459178,Pessac
33449,26790.111222,Saint-Médard-en-Jalles
33522,39609.479131,Talence
33529,24046.083492,La Teste-de-Buch
33550,35155.934319,Villenave-d'Ornon
34003,26189.481559,Agde
34032,66172.165138,Béziers
34057,21667.681174,Castelnau-le-Lez
34145,22036.492609,Lunel
34172,260133.369368,Montpellier
34301,39289.737456,Sète
35238,195270.144478,Rennes
35288,41615.705716,Saint-Malo
36044,38341.109427,Châteauroux
37122,31596.544259,Joué-lès-Tours
37261,119412.858938,Tours
38053,24059.096447,Bourgoin-Jallieu
38151,29339.899128,Échirolles
38185,134360.566293,Grenoble
38421,32393.617124,Saint-Martin-d'Hères
38544,25820.380862,Vienne
39198,20158.107835,Dole
40192,26780.434201,Mont-de-Marsan
41018,38345.420417,Blois
42187,30761.235696,Roanne
42207,29175.349285,Saint-Chamond
42218,143279.294715,Saint-Étienne
44109,274242.546824,Nantes
44114,22879.599721,Orvault
44143,35605.564387,Rezé
44162,41333.195182,Saint-Herblain
44184,61311.554929,Saint-Nazaire
44190,23733.518877,Saint-Sébastien-sur-Loire
44215,21491.585542,Vertou
45234,95937.694478,Orléans
47001,28600.574319,Agen
49007,134007.69506,Angers
49099,44983.192477,Cholet
49301,20509.798618,Sèvremoine
49301,20509.798618,Saint-Macaire-en-Mauges
49328,22962.343917,Saumur
50129,67681.835973,Cherbourg-en-Cotentin
50129,67681.835973,Cherbourg-Octeville
51108,37135.685561,Châlons-en-Champagne
51454,151793.139805,Reims
52448,20761.929651,Saint-Dizier
53130,42178.173431,Laval
54395,92605.645891,Nancy
54547,25603.192728,Vandœuvre-lès-Nancy
56121,50091.128172,Lorient
56260,48088.825714,Vannes
57463,103032.240061,Metz
57672,36143.499162,Thionville
58194,30563.915452,Nevers
59009,51511.336225,Villeneuve-d'Ascq
59017,20777.455278,Armentières
59122,27130.692004,Cambrai
59178,34273.04639,Douai
59183,75306.307281,Dunkerque
59328,22940.479766,Lambersart
59350,204586.632927,Lille
59378,32519.406843,Marcq-en-Barœul
59392,24911.396393,Maubeuge
59512,74635.905872,Roubaix
59599,77485.127455,Tourcoing
59606,36670.378297,Valenciennes
59650,32520.002157,Wattrelos
60057,45501.919744,Beauvais
60159,33549.896424,Compiègne
60175,26846.463896,Creil
61001,22022.200443,Alençon
62041,35126.734624,Arras
62119,21360.05695,Béthune
62160,34258.860032,Boulogne-sur-Mer
62193,60387.47208,Calais
62427,21419.696437,Hénin-Beaumont
62498,27557.884888,Lens
62510,25017.999275,Liévin
63113,126102.323117,Clermont-Ferrand
64024,37395.473767,Anglet
64102,46430.5925,Bayonne
64122,23309.508714,Biarritz
64445,69076.580255,Pau
65440,38817.074799,Tarbes
66136,99838.482406,Perpignan
67180,30684.902864,Haguenau
67218,23301.761244,Illkirch-Graffenstaden
67447,28190.336966,Schiltigheim
67482,243090.332038,Strasbourg
68066,57663.665246,Colmar
68224,87069.346392,Mulhouse
69029,34774.236817,Bron
69034,36457.494306,Caluire-et-Cuire
69123,443444.160013,Lyon
69149,30896.758339,Oullins-Pierre-Bénite
69149,30896.758339,Oullins
69256,39084.80778,Vaulx-en-Velin
69259,51096.478837,Vénissieux
69264,29454.511303,Villefranche-sur-Saône
69266,135514.234471,Villeurbanne
69275,24125.589968,Décines-Charpieu
69282,28741.980381,Meyzieu
69286,24071.836928,Rillieux-la-Pape
69290,38695.402814,Saint-Priest
71076,37711.27376,Chalon-sur-Saône
71270,28232.568829,Mâcon
72181,120842.322083,Le Mans
73008,27569.36582,Aix-les-Bains
73065,50149.231266,Chambéry
74010,110605.710336,Annecy
74010,110605.710336,Annecy
74012,30023.565228,Annemasse
74281,31132.978269,Thonon-les-Bains
75056,1926653.781019,Paris
76217,25774.421354,Dieppe
76322,21797.080394,Le Grand-Quevilly
76351,142287.890978,Le Havre
76540,99796.709315,Rouen
76575,22707.227419,Saint-Étienne-du-Rouvray
76681,24114.863356,Sotteville-lès-Rouen
77058,21243.015708,Bussy-Saint-Georges
77083,21121.187636,Champs-sur-Marne
77108,43229.139733,Chelles
77284,44242.589746,Meaux
77288,33519.593356,Melun
77373,31300.99765,Pontault-Combault
77445,23415.727558,Savigny-le-Temple
77514,20941.156878,Villeparisis
78146,24721.780662,Chatou
78158,26875.082861,Le Chesnay-Rocquencourt
78158,26875.082861,Le Chesnay
78172,28769.993707,Conflans-Sainte-Honorine
78208,20852.173921,Élancourt
78297,22923.123291,Guyancourt
78311,27015.638996,Houilles
78361,34209.522535,Mantes-la-Jolie
78423,26795.023502,Montigny-le-Bretonneux
78440,25268.102875,Les Mureaux
78490,25412.057995,Plaisir
78498,32021.109469,Poissy
78517,22652.859147,Rambouillet
78551,36553.756995,Saint-Germain-en-Laye
78586,41918.04425,Sartrouville
78621,25477.447336,Trappes
78646,70016.505409,Versailles
79191,51055.566546,Niort
80001,20030.428055,Abbeville
80021,113276.983595,Amiens
81004,44284.032589,Albi
81065,35877.829577,Castres
82121,51643.948221,Montauban
83050,33467.211463,Draguignan
83061,49561.849851,Fréjus
83062,22366.585296,La Garde
83069,48084.860505,Hyères
83118,32653.5442,Saint-Raphaël
83126,53235.935021,La Seyne-sur-Mer
83129,32007.015977,Six-Fours-les-Plages
83137,151743.631514,Toulon
83144,20108.722135,La Valette-du-Var
84007,74354.448383,Avignon
84031,24936.71871,Carpentras
84035,21558.768785,Cavaillon
84087,24467.248367,Orange
85191,46759.277025,La Roche-sur-Yon
85194,43759.396752,Les Sables-d'Olonne
86066,26702.209302,Châtellerault
86194,77000.009831,Poitiers
87085,117744.633241,Limoges
88160,27442.971854,Épinal
89024,29606.717045,Auxerre
89387,21904.467648,Sens
90010,41356.651073,Belfort
91027,28134.509681,Athis-Mons
91103,20904.679576,Brétigny-sur-Orge
91114,20913.946032,Brunoy
91174,41260.295674,Corbeil-Essonnes
91201,23844.540198,Draveil
91223,20802.565899,Étampes
91228,52165.62058,Évry-Courcouronnes
91286,20308.927069,Grigny
91377,40815.413247,Massy
91477,29688.840767,Palaiseau
91521,22953.430331,Ris-Orangis
91549,28875.749515,Sainte-Geneviève-des-Bois
91589,30371.226769,Savigny-sur-Orge
91657,23997.565974,Vigneux-sur-Seine
91687,25073.521187,Viry-Châtillon
91691,23384.679754,Yerres
91692,20024.177603,Les Ulis
92002,52244.985944,Antony
92004,73299.944229,Asnières-sur-Seine
92007,34337.337765,Bagneux
92009,23994.056513,Bois-Colombes
92012,100717.967943,Boulogne-Billancourt
92019,28621.21541,Châtenay-Malabry
92020,30195.319817,Châtillon
92023,46570.000356,Clamart
92024,53214.242418,Clichy
92025,71600.911219,Colombes
92026,71346.959633,Courbevoie
92035,24568.294475,La Garenne-Colombes
92036,39330.850101,Gennevilliers
92040,56212.579275,Issy-les-Moulineaux
92044,55989.867246,Levallois-Perret
92046,25276.231264,Malakoff
92048,37830.649953,Meudon
92049,41153.293677,Montrouge
92050,78808.822122,Nanterre
92051,51154.713212,Neuilly-sur-Seine
92060,23513.476727,Le Plessis-Robinson
92062,37020.935831,Puteaux
92063,65477.759315,Rueil-Malmaison
92064,24336.747309,Saint-Cloud
92073,39526.857645,Suresnes
92075,23919.461056,Vanves
93001,70627.29952,Aubervilliers
93005,66652.004553,Aulnay-sous-Bois
93006,33312.783716,Bagnolet
93007,46273.104708,Le Blanc-Mesnil
93008,42340.389352,Bobigny
93010,40805.778232,Bondy
93014,21823.10353,Clichy-sous-Bois
93027,36888.879798,La Courneuve
93029,55960.212678,Drancy
93031,42145.72413,Épinay-sur-Seine
93032,31897.439502,Gagny
93046,36174.037397,Livry-Gargan
93047,21769.536069,Montfermeil
93048,89653.538584,Montreuil
93050,29854.821992,Neuilly-sur-Marne
93051,56299.598873,Noisy-le-Grand
93053,35591.861812,Noisy-le-Sec
93055,48184.991861,Pantin
93063,27651.669508,Romainville
93064,36357.63355,Rosny-sous-Bois
93066,116788.632429,Saint-Denis
93066,116788.632429,Saint-Denis
93070,42893.880253,Saint-Ouen-sur-Seine
93071,39975.934586,Sevran
93072,29993.658431,Stains
93073,29557.74292,Tremblay-en-France
93077,24052.128238,Villemomble
93078,29862.921175,Villepinte
94002,37454.21341,Alfortville
94016,25278.123787,Cachan
94017,62545.92814,Champigny-sur-Marne
94018,24812.391089,Charenton-le-Pont
94022,36973.888619,Choisy-le-Roi
94028,74426.297528,Créteil
94033,42858.345829,Fontenay-sous-Bois
94034,23444.509808,Fresnes
94038,25038.371303,L'Haÿ-les-Roses
94041,52909.645274,Ivry-sur-Seine
94043,21046.486733,Le Kremlin-Bicêtre
94044,21377.94089,Limeil-Brévannes
94046,47531.24213,Maisons-Alfort
94052,27269.481583,Nogent-sur-Marne
94058,28670.470416,Le Perreux-sur-Marne
94068,63757.495454,Saint-Maur-des-Fossés
94071,22429.815386,Sucy-en-Brie
94073,25893.326598,Thiais
94076,47914.853978,Villejuif
94078,27554.226659,Villeneuve-Saint-Georges
94079,26196.536609,Villiers-sur-Marne
94080,41549.05508,Vincennes
94081,76817.575164,Vitry-sur-Seine
95018,84738.192502,Argenteuil
95063,26864.306283,Bezons
95127,53124.524316,Cergy
95176,21234.049107,Cormeilles-en-Parisis
95203,20747.568144,Eaubonne
95219,23284.04705,Ermont
95252,29901.783988,Franconville
95268,32077.898912,Garges-lès-Gonesse
95277,20954.834201,Gonesse
95280,23711.659043,Goussainville
95306,24638.486593,Herblay-sur-Seine
95500,24953.888069,Pontoise
95582,21428.961595,Sannois
95585,44430.210419,Sarcelles
95607,21694.856653,Taverny
95680,21596.176049,Villiers-le-Bel
97101,46034.006774,Les Abymes
97103,25026.733367,Baie-Mahault
97113,23148.270885,Le Gosier
97128,20426.730273,Sainte-Anne
97209,70577.278542,Fort-de-France
97213,32778.319318,Le Lamentin
97302,46952.431911,Cayenne
97307,25263.172703,Matoury
97309,20232.852983,Remire-Montjoly
97311,30501.694384,Saint-Laurent-du-Maroni
97407,27400.891232,Le Port
97408,27721.008371,La Possession
97409,42883.628949,Saint-André
97410,28341.318078,Saint-Benoît
97411,123109.546614,Saint-Denis
97412,30808.13787,Saint-Joseph
97413,28084.673998,Saint-Leu
97414,41201.254831,Saint-Louis
97415,85276.505864,Saint-Paul
97416,67834.559035,Saint-Pierre
97418,27363.346329,Sainte-Marie
97422,64324.977049,Le Tampon
